L,05/10/24,U13 Blues,Southmead CS Athletic  U13,Hillside,U13B,
Cup,05/10/24,U12 Blacks,Bishop Road Buccaneers U12,Hillside,U12s Cup_2024 - 2025,
L,05/10/24,U15 Reds,Frampton Rangers U15,Hillside,U15B,
Cup,05/10/24,U15 Blacks,Shirehampton Colts U15,Hillside,U15s Plate_2024 - 2025,
Cup,12/10/24,U13 Greens,Ashley Down U13 Athletic,Hillside,U13s Cup_2024 - 2025,
L,12/10/24,U12 Reds,4fourthefuture U12,Hillside,U12A,
L,12/10/24,U11 Reds,Lydney Town Youth U11,Hillside,U11 Pioneers 2024,
L,19/10/24,U13 Blues,Ashley Down U13 Wanderers,Hillside,U13B,
Cup,19/10/24,U11 Reds,Lydney Town Youth U11,Hillside,U11 Challenge Cup_2024 - 2025,
L,09/11/24,U13 Greens,Cotham Tigers U13 Blacks,Hillside,U13B,
L,09/11/24,U12 Reds,Tyrone Mings Academy U12 Gladiators,Hillside,U12A,
L,09/11/24,U15 Reds,Westbury Park Foxes U15,Hillside,U15B,
L,16/11/24,U13 Blues,Rockleaze Rangers U13 Greens,Hillside,U13B,
L,16/11/24,U12 Reds,Brunel Bantams U12 Wanderers,Hillside,U12A,
L,16/11/24,U11 Reds,Olveston United Youth U11 Severn,Hillside,U11 Pioneers 2024,
L,16/11/24,U15 Blacks,Bradley Stoke U15 Gold,Hillside,U15C,
L,23/11/24,U13 Blues,Port of Bristol U13 Whites,Hillside,U13B,
L,23/11/24,U12 Blacks,Wessex Wanderers U12 Tigers,Hillside,U12C,
L,23/11/24,U15 Reds,Backwell Athletic Junior U15,Hillside,U15B,
L,30/11/24,U13 Greens,Ashley Down U13 Wanderers,Hillside,U13B,
L,30/11/24,U12 Reds,Stoke Lane Athletic U12,Hillside,U12A,
L,30/11/24,U15 Blacks,Cotham Tigers U15,Hillside,U15C,
L,07/12/24,U13 Blues,Wessex Wanderers U13,Hillside,U13B,
L,07/12/24,U12 Blacks,Shirehampton Colts U12 Mustangs,Hillside,U12C,
L,07/12/24,U15 Reds,Golden Hill Sonics U15,Hillside,U15B,
L,14/12/24,U13 Greens,Southmead CS Athletic  U13,Hillside,U13B,
L,14/12/24,U12 Reds,Golden Hill Sonics U12,Hillside,U12A,
L,14/12/24,U11 Reds,Abbeymead Rovers Youth U11 Tigers,Hillside,U11 Pioneers 2024,
L,11/01/25,U13 Greens,Port of Bristol U13 Whites,Hillside,U13B,
L,11/01/25,U12 Blacks,Wessex Wanderers U12 Colts,Hillside,U12C,
L,11/01/25,U15 Reds,Fry Club Juniors U15,Hillside,U15B,
L,11/01/25,U15 Blacks,Yatton Athletic U15 Rangers,Hillside,U15C,
L,18/01/25,U13 Blues,Golden Hill Sonics U13,Hillside,U13B,
L,18/01/25,U12 Blacks,Thornbury Town U12 Kestrels,Hillside,U12C,
L,18/01/25,U11 Reds,Cinderford Town Youth U11 Whites,Hillside,U11 Pioneers 2024,
L,18/01/25,U15 Blacks,FC United U15,Hillside,U15C,
L,25/01/25,U13 Greens,Wessex Wanderers U13,Hillside,U13B,
L,25/01/25,U12 Blacks,Cotham Tigers U12 Indians,Hillside,U12C,
L,01/02/25,U13 Blues,Westbury Park Foxes U13 Whites,Hillside,U13B,
L,01/02/25,U12 Reds,Cotham Tigers U12 Siberians,Hillside,U12A,
L,01/02/25,U15 Reds,Olveston United U15,Hillside,U15B,
L,01/02/25,U15 Blacks,Shirehampton Colts U15,Hillside,U15C,
L,08/02/25,U13 Greens,Rockleaze Rangers U13 Blues,Hillside,U13B,
L,08/02/25,U11 Reds,Tetbury Town Youth U11 Lightning,Hillside,U11 Pioneers 2024,
L,01/03/25,U13 Greens,Westbury Park Foxes U13 Whites,Hillside,U13B,
L,01/03/25,U15 Blacks,Portishead Town U15 Sparks,Hillside,U15C,
L,08/03/25,U12 Blacks,Bishop Road Buccaneers U12,Hillside,U12C,
